"Country of origin","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",""
"Mexico","53.038406774402","57.86839902401","52.161828793585","54.978638790548","69.467942878604","38.147950917482","50.400364816189","60.741047926247","51.855554386973","62.158638969064","69.804392561316","91.442435234785","72.790233954787","82.209435999393",""
"Netherlands","492.36135433614","619.20483706891","578.31615051627","606.71700032055","659.76702362299","665.32841619104","654.14883825183","683.86947585642","621.1703229323","631.2341157347","637.93062928319","686.71098812669","705.18628612161","690.48509867489",""
"New Zealand","82.67217579484","100.54281580448","101.89609722793","121.74206997454","124.54699613899","119.74246621504","103.12724301219","108.81879197434","111.30152317137","95.538711547851","104.54087001085","93.707293279469","106.60637670755","118.41910724342",""
"Nigeria","93.006873726845","85.612025782466","120.64473515749","119.83054286242","118.3501317054","125.04834102094","113.60771135986","116.5064804852","124.56658057868","106.09020167589","109.89716079831","120.67499908805","95.805418074131","89.781191706657",""
"Norway","178.39117385447","182.01539769769","218.04298469238","265.90286889672","302.19125942886","306.60037302971","337.61603777111","324.07993614674","372.10688602924","382.14464227855","396.79784213006","480.10993422568","471.93693967163","434.62971320748",""
"Oman","","","","","","","","","","8.0838980078697","8.4754679501056","12.13776704669","9.6072547137737","14.259101361036",""
"Other Africa","102.55532684922","100.88896591961","113.45958955586","93.460726268589","98.586309894919","110.84581597149","83.288762584328","93.920105502009","87.762635819614","77.050705641508","88.486762654036","113.39707115293","106.27290838957","96.924301281571",""
"Other Asia","68.571829780936","55.97441598773","65.529110323638","76.034326076507","60.786644101143","73.39182639122","71.791363149881","51.947622030973","59.708556950092","59.581043049693","59.913891963661","75.695624902844","87.079295456409","74.521101921797",""
"Other Central & South America","105.97157639265","97.975145846605","103.18468776345","108.15920896828","108.48267118633","119.23279197514","76.136879995465","90.528473705053","84.553051158786","84.989479631185","84.772387359291","128.33151009679","111.08329811692","88.59772336483",""
"Other Eastern Europe","79.294780090451","74.434105634689","86.191153362393","285.28061945736","404.84292699397","484.96966168284","352.52767657489","266.91400848329","261.19030898809","291.28334239125","291.05163988098","307.60860660672","258.27724400163","314.01666890085",""
"Other Middle East","80.630763739347","66.860640063882","83.192577764392","77.754470095038","97.043135255575","93.160799235105","91.562406003475","115.12548319995","97.368042126298","55.810511127114","45.547252558172","40.378848791122","55.328255027532","43.531341016292",""
"Other Southern Africa","18.999752148986","11.886292889714","13.572755947709","12.151360943913","11.420664072037","12.270255953073","11.734982818365","5.557477042079","1.7942800223827","21.337667137384","19.411207616329","16.965189129114","19.637018740177","16.45250838995",""
"Other Western Europe","80.254212260246","75.122491687536","101.88883158565","81.789526730776","106.88799795508","122.78581355512","118.20669189095","122.5945096612","96.641180574894","94.080161973834","94.833466380834","103.54550099373","117.64198157191","113.60501296818",""
"Pakistan","43.017465785146","35.563234239817","49.235691174865","58.265575066209","66.121777161956","55.532232880592","47.742180079222","38.376398950815","32.486232876778","31.407247066498","40.592528313398","39.727047145367","49.005519211292","35.145472198725",""
"Poland","115.33006335795","167.22525453567","277.79681420326","425.19047108293","528.20418936014","432.71474400163","451.25951373577","359.55149620771","355.72928833961","353.73270004988","396.21961936727","419.22772312164","446.49400553107","531.35370190442",""
"Portugal","97.801483601331","97.460538178682","96.982153385877","113.63602124155","120.75442385674","144.05546587706","133.78061565757","136.70651248097","172.38796178997","165.59096936882","152.95365450904","137.9990375042","191.27908957005","222.97852575779",""
"Qatar","","","","","","","","","","24.602314904332","31.66526299715","43.604431867599","32.847070366144","41.836869582534",""
"Romania","","","","","","","101.05905655026","107.84048572183","121.93434050679","127.93483901024","109.83340729773","158.62142115831","170.45366853476","237.73812581599",""
"Russia","143.19926951826","160.12249571085","193.37077347375","133.19067580998","159.5877584666","165.12277963758","125.00690186024","85.735525481403","119.07894285023","154.36411087215","155.2823291719","147.2437338829","164.82529991865","99.009386867285",""
"Saudi Arabia","42.841656878591","34.149793878198","37.725659102201","36.982993766665","39.512731388211","56.480272173881","63.8274962008","58.588155046105","54.211539894342","66.835191607475","74.441872835159","90.946555525064","99.147129654884","103.90909166634",""
"Serbia","","","","","","","","","","18.79617190361","17.821087002754","16.262249112129","12.519155800343","16.909916251898",""
"Singapore","57.45606136322","52.554538756609","57.155779408291","49.905190989375","70.865267977118","63.444957897067","76.959014415741","64.700659193098","89.249540790915","88.866435721516","106.65452638268","91.506256952882","120.61848810315","148.58644865453",""
"South Africa","162.53059424832","156.75393201411","167.64389038086","180.13048152626","216.82457813621","174.82944750786","164.23228400946","131.53632675111","123.43992708623","108.73481208086","118.81616704911","142.34256589413","124.48954461887","134.48145321012",""
"South Korea","66.993415147066","88.628364220261","114.55906924605","119.13064748049","119.40359541774","127.95651462674","109.46713203192","58.031894743442","84.789878621697","108.10505147278","130.74695833772","154.82306945324","164.58170166612","181.91495478153",""
"Spain","444.35032662749","526.56287559867","691.62981510162","709.68824122846","933.51857249439","967.51332405209","895.29369354993","1011.2622309178","875.23852682114","894.84865380824","795.88840008527","865.73167262971","984.28807610273","1153.212631315",""
"Sweden","291.88996209204","307.88287822902","327.23262295127","333.75659605861","383.06784878671","401.862557441","417.51988749206","335.08804213256","442.61978442967","457.67308494449","503.05627611279","516.13567648828","547.40530993044","553.64981362224",""
"Switzerland","310.64369047806","297.14938552678","292.60734162852","331.37878952175","389.22722737491","372.41897240281","348.24687179923","354.31432338059","314.50906524062","391.20889159292","425.03210777789","453.77063772082","503.07392728329","504.3724745065",""
"Taiwan","18.857968017459","20.369664952159","23.325825050473","22.123662173748","18.944392949343","23.110429957509","17.792403012514","23.055323988199","23.329388186336","23.635838925838","27.022714093327","28.751088798046","37.919176399708","33.658773452043",""
"Thailand","21.438677996397","26.333806052804","29.555614788085","27.289642810821","29.681224137545","36.543880939484","22.04966506362","39.387633323669","30.076497867703","35.895861119032","38.022603780031","41.944174945354","35.467313960195","43.326052337885",""
"Turkey","41.186853796244","61.043753966689","55.925491034984","51.861986979842","91.641897082329","77.892664641142","75.405928641558","58.857911199331","71.747006759047","69.419882848859","91.463656939566","90.81364351511","102.98828426003","116.80588760972",""
"United Arab Emirates","60.558880075812","58.285024121404","73.195767775178","61.776979349553","89.069556102156","91.490018934011","123.68644352257","121.42699499428","107.22309558094","118.19140858948","133.32622503489","161.31613233685","152.07827931643","181.31299006939",""
"USA","2446.3302443139","2233.1161932386","2406.3766304851","2276.8150966223","2536.8963712454","2333.6141901165","1907.8710551187","1839.148633413","1765.5577234775","1842.7915298268","1862.3213585056","1877.8732968792","1982.186328657","2142.324347049",""
